ISOCode,CountryName,Continent
AFG,Afghanistan,Asia
ALB,Albania,Europe
DZA,Algeria,Africa
ASM,American Samoa,Other
AGO,Angola,Africa
ATA,Antarctica,Other
ATG,Antigua and Barbuda,North America
ARG,Argentina,South America
ARM,Armenia,Asia
ABW,Aruba,Other
AUS,Australia,Oceania
AUT,Austria,Europe
AZE,Azerbaijan,Asia
BHS,Bahamas,North America
BHR,Bahrain,Asia
BGD,Bangladesh,Asia
BRB,Barbados,North America
BLR,Belarus,Europe
BEL,Belgium,Europe
BLZ,Belize,North America
BEN,Benin,Africa
BMU,Bermuda,Other
BTN,Bhutan,Asia
BOL,Bolivia,South America
BIH,Bosnia and Herzegovina,Europe
BWA,Botswana,Africa
BRA,Brazil,South America
VGB,British Virgin Islands,Other
BRN,Brunei,Asia
BGR,Bulgaria,Europe
BFA,Burkina Faso,Africa
BDI,Burundi,Africa
KHM,Cambodia,Asia
CMR,Cameroon,Africa
CAN,Canada,North America
CPV,Cape Verde,Other
CYM,Cayman Islands,Other
CAF,Central African Republic,Africa
TCD,Chad,Africa
CHL,Chile,South America
CHN,China,Asia
COL,Colombia,South America
COM,Comoros,Africa
COG,Congo,Africa
COK,Cook Islands,Other
CRI,Costa Rica,North America
CIV,Cote d'Ivoire,Other
HRV,Croatia,Europe
CUB,Cuba,North America
CUW,Curacao,Other
CYP,Cyprus,Asia
CZE,Czechia,Europe
COD,Democratic Republic of Congo,Africa
DNK,Denmark,Europe
DJI,Djibouti,Africa
DMA,Dominica,North America
DOM,Dominican Republic,North America
TLS,East Timor,Other
ECU,Ecuador,South America
EGY,Egypt,Africa
SLV,El Salvador,North America
GNQ,Equatorial Guinea,Africa
ERI,Eritrea,Africa
EST,Estonia,Europe
SWZ,Eswatini,Africa
ETH,Ethiopia,Africa
FLK,Falkland Islands,Other
FRO,Faroe Islands,Other
FJI,Fiji,Oceania
FIN,Finland,Europe
FRA,France,Europe
GUF,French Guiana,Other
PYF,French Polynesia,Other
GAB,Gabon,Africa
GMB,Gambia,Africa
GEO,Georgia,Asia
DEU,Germany,Europe
GHA,Ghana,Africa
GIB,Gibraltar,Other
GRC,Greece,Europe
GRL,Greenland,Other
GRD,Grenada,North America
GLP,Guadeloupe,Other
GUM,Guam,Other
GTM,Guatemala,North America
GIN,Guinea,Africa
GNB,Guinea-Bissau,Africa
GUY,Guyana,South America
HTI,Haiti,North America
HND,Honduras,North America
HKG,Hong Kong,Other
HUN,Hungary,Europe
ISL,Iceland,Europe
IND,India,Asia
IDN,Indonesia,Asia
IRN,Iran,Asia
IRQ,Iraq,Asia
IRL,Ireland,Europe
ISR,Israel,Asia
ITA,Italy,Europe
JAM,Jamaica,North America
JPN,Japan,Asia
JOR,Jordan,Asia
KAZ,Kazakhstan,Asia
KEN,Kenya,Africa
KIR,Kiribati,Oceania
KWT,Kuwait,Asia
KGZ,Kyrgyzstan,Asia
LAO,Laos,Asia
LVA,Latvia,Europe
LBN,Lebanon,Asia
LSO,Lesotho,Africa
LBR,Liberia,Africa
LBY,Libya,Africa
LTU,Lithuania,Europe
LUX,Luxembourg,Europe
MAC,Macao,Other
MDG,Madagascar,Africa
MWI,Malawi,Africa
MYS,Malaysia,Asia
MDV,Maldives,Asia
MLI,Mali,Africa
MLT,Malta,Europe
MTQ,Martinique,Other
MRT,Mauritania,Africa
MUS,Mauritius,Africa
MEX,Mexico,North America
FSM,Micronesia (country),Oceania
MDA,Moldova,Europe
MNG,Mongolia,Asia
MNE,Montenegro,Europe
MSR,Montserrat,Other
MAR,Morocco,Africa
MOZ,Mozambique,Africa
MMR,Myanmar,Asia
NAM,Namibia,Africa
NRU,Nauru,Oceania
NPL,Nepal,Asia
NLD,Netherlands,Europe
ANT,Netherlands Antilles,Other
NCL,New Caledonia,Other
NZL,New Zealand,Oceania
NIC,Nicaragua,North America
NER,Niger,Africa
NGA,Nigeria,Africa
NIU,Niue,Other
PRK,North Korea,Asia
MKD,North Macedonia,Europe
MNP,Northern Mariana Islands,Other
NOR,Norway,Europe
OMN,Oman,Asia
PAK,Pakistan,Asia
PSE,Palestine,Asia
PAN,Panama,North America
PNG,Papua New Guinea,Oceania
PRY,Paraguay,South America
PER,Peru,South America
PHL,Philippines,Asia
POL,Poland,Europe
PRT,Portugal,Europe
PRI,Puerto Rico,Other
QAT,Qatar,Asia
REU,Reunion,Other
ROU,Romania,Europe
RUS,Russia,Europe
RWA,Rwanda,Africa
SHN,Saint Helena,Other
KNA,Saint Kitts and Nevis,North America
LCA,Saint Lucia,North America
SPM,Saint Pierre and Miquelon,Other
VCT,Saint Vincent and the Grenadines,North America
WSM,Samoa,Oceania
STP,Sao Tome and Principe,Africa
SAU,Saudi Arabia,Asia
SEN,Senegal,Africa
SRB,Serbia,Europe
SYC,Seychelles,Africa
SLE,Sierra Leone,Africa
SGP,Singapore,Asia
SVK,Slovakia,Europe
SVN,Slovenia,Europe
SLB,Solomon Islands,Oceania
SOM,Somalia,Africa
ZAF,South Africa,Africa
KOR,South Korea,Asia
SSD,South Sudan,Africa
ESP,Spain,Europe
LKA,Sri Lanka,Asia
SDN,Sudan,Africa
SUR,Suriname,South America
SWE,Sweden,Europe
CHE,Switzerland,Europe
SYR,Syria,Asia
TWN,Taiwan,Asia
TJK,Tajikistan,Asia
TZA,Tanzania,Africa
THA,Thailand,Asia
TGO,Togo,Africa
TON,Tonga,Oceania
TTO,Trinidad and Tobago,North America
TUN,Tunisia,Africa
TUR,Turkey,Asia
TKM,Turkmenistan,Asia
TCA,Turks and Caicos Islands,Other
TUV,Tuvalu,Oceania
UGA,Uganda,Africa
UKR,Ukraine,Europe
ARE,United Arab Emirates,Asia
GBR,United Kingdom,Europe
USA,United States,North America
VIR,United States Virgin Islands,Other
URY,Uruguay,South America
UZB,Uzbekistan,Asia
VUT,Vanuatu,Oceania
VEN,Venezuela,South America
VNM,Vietnam,Asia
ESH,Western Sahara,Other
YEM,Yemen,Asia
ZMB,Zambia,Africa
ZWE,Zimbabwe,Africa
